Place,ProductId,ProductName,UmId,UmName,Month,Year,Price
National Average,52,Rice - Retail,5,KG,5,2013,4.492
National Average,52,Rice - Retail,5,KG,6,2013,4.5786
National Average,52,Rice - Retail,5,KG,11,2013,4.7865
National Average,52,Rice - Retail,5,KG,12,2013,5.1337
National Average,52,Rice - Retail,5,KG,1,2014,5.5099
National Average,52,Rice - Retail,5,KG,2,2014,5.8146
National Average,52,Rice - Retail,5,KG,3,2014,6.0014
National Average,52,Rice - Retail,5,KG,5,2014,6.3202
National Average,52,Rice - Retail,5,KG,6,2014,6.6019
National Average,52,Rice - Retail,5,KG,7,2014,6.6503
National Average,52,Rice - Retail,5,KG,8,2014,6.6806
National Average,52,Rice - Retail,5,KG,9,2014,6.6035
National Average,52,Rice - Retail,5,KG,10,2014,6.496
National Average,52,Rice - Retail,5,KG,11,2014,6.644
National Average,52,Rice - Retail,5,KG,12,2014,6.724
National Average,52,Rice - Retail,5,KG,1,2015,6.755
National Average,52,Rice - Retail,5,KG,2,2015,6.49
National Average,52,Rice - Retail,5,KG,3,2015,6.517
National Average,52,Rice - Retail,5,KG,4,2015,6.54
National Average,52,Rice - Retail,5,KG,5,2015,6.53
National Average,52,Rice - Retail,5,KG,6,2015,6.44
National Average,52,Rice - Retail,5,KG,7,2015,6.33
National Average,52,Rice - Retail,5,KG,8,2015,6.31
National Average,52,Rice - Retail,5,KG,9,2015,6.33
National Average,52,Rice - Retail,5,KG,10,2015,6.33
National Average,52,Rice - Retail,5,KG,11,2015,6.28
National Average,52,Rice - Retail,5,KG,12,2015,6.27
National Average,52,Rice - Retail,5,KG,1,2016,6.37
National Average,52,Rice - Retail,5,KG,2,2016,6.31
National Average,52,Rice - Retail,5,KG,3,2016,6.26
National Average,52,Rice - Retail,5,KG,4,2016,6.39
National Average,52,Rice - Retail,5,KG,5,2016,6.06
National Average,52,Rice - Retail,5,KG,6,2016,5.92
National Average,52,Rice - Retail,5,KG,7,2016,5.86
National Average,52,Rice - Retail,5,KG,8,2016,5.87
National Average,52,Rice - Retail,5,KG,9,2016,5.82
National Average,52,Rice - Retail,5,KG,10,2016,5.79
National Average,52,Rice - Retail,5,KG,11,2016,5.85
National Average,52,Rice - Retail,5,KG,12,2016,6.07
National Average,52,Rice - Retail,5,KG,1,2017,5.87
National Average,52,Rice - Retail,5,KG,2,2017,6.01
National Average,52,Rice - Retail,5,KG,3,2017,6.28
National Average,52,Rice - Retail,5,KG,1,2018,7.7321
National Average,52,Rice - Retail,5,KG,2,2018,7.7563
National Average,52,Rice - Retail,5,KG,3,2018,7.7952
National Average,52,Rice - Retail,5,KG,4,2018,7.8248
National Average,52,Rice - Retail,5,KG,5,2018,7.8543
National Average,52,Rice - Retail,5,KG,6,2018,8.0722
National Average,52,Rice - Retail,5,KG,7,2018,8.3216
National Average,52,Rice - Retail,5,KG,8,2018,8.4695
National Average,52,Rice - Retail,5,KG,9,2018,8.8124
National Average,52,Rice - Retail,5,KG,10,2018,9.1428
National Average,52,Rice - Retail,5,KG,11,2018,9.296
National Average,52,Rice - Retail,5,KG,12,2018,9.3896
National Average,52,Rice - Retail,5,KG,1,2019,8.4275
National Average,52,Rice - Retail,5,KG,2,2019,8.7656
National Average,52,Rice - Retail,5,KG,3,2019,8.8101
National Average,52,Rice - Retail,5,KG,4,2019,8.9266
National Average,52,Rice - Retail,5,KG,5,2019,9.1866
National Average,52,Rice - Retail,5,KG,6,2019,9.2781
National Average,52,Rice - Retail,5,KG,7,2019,9.4634
National Average,52,Rice - Retail,5,KG,8,2019,9.4681
National Average,52,Rice - Retail,5,KG,9,2019,9.5
National Average,52,Rice - Retail,5,KG,10,2019,9.4346
National Average,52,Rice - Retail,5,KG,11,2019,9.4267
National Average,52,Rice - Retail,5,KG,12,2019,9.5616
National Average,58,Wheat flour - Retail,5,KG,5,2013,2.1988
National Average,58,Wheat flour - Retail,5,KG,6,2013,2.2139
National Average,58,Wheat flour - Retail,5,KG,11,2013,2.2671
National Average,58,Wheat flour - Retail,5,KG,12,2013,2.3416
National Average,58,Wheat flour - Retail,5,KG,1,2014,2.3921
National Average,58,Wheat flour - Retail,5,KG,2,2014,2.4358
National Average,58,Wheat flour - Retail,5,KG,3,2014,2.4724
National Average,58,Wheat flour - Retail,5,KG,5,2014,2.543
National Average,58,Wheat flour - Retail,5,KG,6,2014,2.6028
National Average,58,Wheat flour - Retail,5,KG,7,2014,2.5997
National Average,58,Wheat flour - Retail,5,KG,8,2014,2.6186
National Average,58,Wheat flour - Retail,5,KG,9,2014,2.6225
National Average,58,Wheat flour - Retail,5,KG,10,2014,2.626
National Average,58,Wheat flour - Retail,5,KG,11,2014,2.648
National Average,58,Wheat flour - Retail,5,KG,12,2014,2.655
National Average,58,Wheat flour - Retail,5,KG,1,2015,2.684
National Average,58,Wheat flour - Retail,5,KG,2,2015,2.671
National Average,58,Wheat flour - Retail,5,KG,3,2015,2.646
National Average,58,Wheat flour - Retail,5,KG,4,2015,2.63
National Average,58,Wheat flour - Retail,5,KG,5,2015,2.65
National Average,58,Wheat flour - Retail,5,KG,6,2015,2.68
National Average,58,Wheat flour - Retail,5,KG,7,2015,2.65
National Average,58,Wheat flour - Retail,5,KG,8,2015,2.67
National Average,58,Wheat flour - Retail,5,KG,9,2015,2.65
National Average,58,Wheat flour - Retail,5,KG,10,2015,2.65
National Average,58,Wheat flour - Retail,5,KG,11,2015,2.75
National Average,58,Wheat flour - Retail,5,KG,12,2015,2.74
National Average,58,Wheat flour - Retail,5,KG,1,2016,2.78
National Average,58,Wheat flour - Retail,5,KG,2,2016,2.79
National Average,58,Wheat flour - Retail,5,KG,3,2016,2.84
National Average,58,Wheat flour - Retail,5,KG,4,2016,2.79
National Average,58,Wheat flour - Retail,5,KG,5,2016,2.89
National Average,58,Wheat flour - Retail,5,KG,6,2016,2.88
National Average,58,Wheat flour - Retail,5,KG,7,2016,2.87
National Average,58,Wheat flour - Retail,5,KG,8,2016,2.86
National Average,58,Wheat flour - Retail,5,KG,9,2016,2.87
National Average,58,Wheat flour - Retail,5,KG,10,2016,2.83
National Average,58,Wheat flour - Retail,5,KG,11,2016,2.85
National Average,58,Wheat flour - Retail,5,KG,12,2016,2.93
National Average,58,Wheat flour - Retail,5,KG,1,2017,2.9
National Average,58,Wheat flour - Retail,5,KG,2,2017,2.86
National Average,58,Wheat flour - Retail,5,KG,3,2017,2.86
National Average,58,Wheat flour - Retail,5,KG,1,2018,3.0404
National Average,58,Wheat flour - Retail,5,KG,2,2018,3.1196
National Average,58,Wheat flour - Retail,5,KG,3,2018,3.1208
National Average,58,Wheat flour - Retail,5,KG,4,2018,3.163
National Average,58,Wheat flour - Retail,5,KG,5,2018,3.0999
National Average,58,Wheat flour - Retail,5,KG,6,2018,3.1645
National Average,58,Wheat flour - Retail,5,KG,7,2018,3.1661
National Average,58,Wheat flour - Retail,5,KG,8,2018,3.2236
National Average,58,Wheat flour - Retail,5,KG,9,2018,3.4645
National Average,58,Wheat flour - Retail,5,KG,10,2018,3.7268
National Average,58,Wheat flour - Retail,5,KG,11,2018,4.032
National Average,58,Wheat flour - Retail,5,KG,12,2018,4.0832
National Average,58,Wheat flour - Retail,5,KG,1,2019,3.5069
National Average,58,Wheat flour - Retail,5,KG,2,2019,3.4963
National Average,58,Wheat flour - Retail,5,KG,3,2019,3.5575
National Average,58,Wheat flour - Retail,5,KG,4,2019,3.6129
National Average,58,Wheat flour - Retail,5,KG,5,2019,3.5917
National Average,58,Wheat flour - Retail,5,KG,6,2019,3.6199
National Average,58,Wheat flour - Retail,5,KG,7,2019,3.6808
National Average,58,Wheat flour - Retail,5,KG,8,2019,3.7026
National Average,58,Wheat flour - Retail,5,KG,9,2019,3.6793
National Average,58,Wheat flour - Retail,5,KG,10,2019,3.7043
National Average,58,Wheat flour - Retail,5,KG,11,2019,3.7598
National Average,58,Wheat flour - Retail,5,KG,12,2019,3.9411
National Average,66,Beans (white) - Retail,5,KG,5,2013,5.8919
National Average,66,Beans (white) - Retail,5,KG,6,2013,6.1
National Average,66,Beans (white) - Retail,5,KG,11,2013,7.1636
National Average,66,Beans (white) - Retail,5,KG,12,2013,8.5757
National Average,66,Beans (white) - Retail,5,KG,1,2014,9.5418
National Average,66,Beans (white) - Retail,5,KG,2,2014,10.0604
National Average,66,Beans (white) - Retail,5,KG,3,2014,10.2467
National Average,66,Beans (white) - Retail,5,KG,5,2014,10.1722
National Average,66,Beans (white) - Retail,5,KG,6,2014,10.077
National Average,66,Beans (white) - Retail,5,KG,7,2014,9.9862
National Average,66,Beans (white) - Retail,5,KG,8,2014,9.8362
National Average,66,Beans (white) - Retail,5,KG,9,2014,9.4139
National Average,66,Beans (white) - Retail,5,KG,10,2014,8.67
National Average,66,Beans (white) - Retail,5,KG,11,2014,8.277
National Average,66,Beans (white) - Retail,5,KG,12,2014,8.046
National Average,66,Beans (white) - Retail,5,KG,1,2015,7.665
National Average,66,Beans (white) - Retail,5,KG,2,2015,7.523
National Average,66,Beans (white) - Retail,5,KG,3,2015,7.442
National Average,66,Beans (white) - Retail,5,KG,4,2015,7.47
National Average,66,Beans (white) - Retail,5,KG,5,2015,7.43
National Average,66,Beans (white) - Retail,5,KG,6,2015,7.34
National Average,66,Beans (white) - Retail,5,KG,7,2015,7.3
National Average,66,Beans (white) - Retail,5,KG,8,2015,7.18
National Average,66,Beans (white) - Retail,5,KG,9,2015,7.09
National Average,66,Beans (white) - Retail,5,KG,10,2015,7.09
National Average,66,Beans (white) - Retail,5,KG,11,2015,6.99
National Average,66,Beans (white) - Retail,5,KG,12,2015,6.94
National Average,66,Beans (white) - Retail,5,KG,1,2016,7.0
National Average,66,Beans (white) - Retail,5,KG,2,2016,7.05
National Average,66,Beans (white) - Retail,5,KG,3,2016,6.89
National Average,66,Beans (white) - Retail,5,KG,4,2016,7.01
National Average,66,Beans (white) - Retail,5,KG,5,2016,6.78
National Average,66,Beans (white) - Retail,5,KG,6,2016,6.59
National Average,66,Beans (white) - Retail,5,KG,7,2016,6.74
National Average,66,Beans (white) - Retail,5,KG,8,2016,6.79
National Average,66,Beans (white) - Retail,5,KG,9,2016,6.89
National Average,66,Beans (white) - Retail,5,KG,10,2016,6.93
National Average,66,Beans (white) - Retail,5,KG,11,2016,7.07
National Average,66,Beans (white) - Retail,5,KG,12,2016,7.65
National Average,66,Beans (white) - Retail,5,KG,1,2017,7.6
National Average,66,Beans (white) - Retail,5,KG,2,2017,7.97
National Average,66,Beans (white) - Retail,5,KG,3,2017,8.32
National Average,66,Beans (white) - Retail,5,KG,1,2018,8.4655
National Average,66,Beans (white) - Retail,5,KG,2,2018,8.3283
National Average,66,Beans (white) - Retail,5,KG,3,2018,8.2225
National Average,66,Beans (white) - Retail,5,KG,4,2018,8.1941
National Average,66,Beans (white) - Retail,5,KG,5,2018,8.0966
National Average,66,Beans (white) - Retail,5,KG,6,2018,8.2217
National Average,66,Beans (white) - Retail,5,KG,7,2018,8.2422
National Average,66,Beans (white) - Retail,5,KG,8,2018,8.3464
National Average,66,Beans (white) - Retail,5,KG,9,2018,8.7955
National Average,66,Beans (white) - Retail,5,KG,10,2018,9.669
National Average,66,Beans (white) - Retail,5,KG,11,2018,10.9928
National Average,66,Beans (white) - Retail,5,KG,12,2018,11.1514
National Average,66,Beans (white) - Retail,5,KG,1,2019,10.2762
National Average,66,Beans (white) - Retail,5,KG,2,2019,10.4701
National Average,66,Beans (white) - Retail,5,KG,3,2019,10.5293
National Average,66,Beans (white) - Retail,5,KG,4,2019,10.614
National Average,66,Beans (white) - Retail,5,KG,5,2019,10.9775
National Average,66,Beans (white) - Retail,5,KG,6,2019,12.0282
National Average,66,Beans (white) - Retail,5,KG,7,2019,12.096
National Average,66,Beans (white) - Retail,5,KG,8,2019,12.1776
National Average,66,Beans (white) - Retail,5,KG,9,2019,12.0821
National Average,66,Beans (white) - Retail,5,KG,10,2019,11.6221
